"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"218",1968,0.0509873268493958,0.0816326530612245,0.089950808151792,0,0.0769230769230769,0.106060606060606,0.0306122448979592
"219",1969,0.0600112170499159,0.101415094339623,0.0786589297227595,0.0262430939226519,0.0571428571428571,0.0958904109589041,0.0396039603960396
"220",1970,0.0722222222222222,0.0556745182012848,0.0992229527794381,0.0471063257065949,0.0540540540540541,0.0875,0.0476190476190477
"221",1971,0.0382432765852455,0.0750507099391481,0.0587275693311582,0.0019280205655527,0.0769230769230769,0.0114942528735632,0.0181818181818182
"222",1972,0.0399239543726236,0.0566037735849057,0.0564971751412429,0.0109044259140475,0.0595238095238095,0.0795454545454545,0.0178571428571427
"223",1973,0.0543875685557587,0.05,0.0894506562955761,0.00317258883248731,0.0674157303370786,0.157894736842105,0.0350877192982456
"224",1974,0.00195058517555267,0.0153061224489796,0.00178491744756805,-0.00126502213788741,0.0105263157894737,-0.0272727272727273,-0.0169491525423729
"225",1975,-0.00584036340038936,0.0117252931323283,-0.0503340757238307,0.0595313489550348,-0.0104166666666667,-0.14018691588785,-0.0258620689655173
"226",1976,0.0583115752828547,0.043046357615894,0.0853658536585366,0.0221159593544531,0.0842105263157895,0.173913043478261,0.0442477876106195
"227",1977,0.03125,0.0317460317460317,0.0363007778738116,0.0269005847953216,0.0485436893203883,-0.037037037037037,0.00847457627118645
"228",1978,0.0115629984051037,0.0461538461538462,-0.00250208507089241,0.0136674259681093,0.0740740740740741,0.0192307692307692,-0.00840336134453782
"229",1979,0.0557745368545526,0.0602941176470588,0.0635451505016722,0.0533707865168539,0.0258620689655172,-0.0754716981132075,0.0423728813559322
"230",1980,-0.0104536120963226,0.0221914008321775,-0.0479559748427673,0.032,0.00840336134453781,-0.122448979591837,-0.0325203252032521
"231",1981,-0.0307489152990002,0.0244233378561737,-0.0549132947976879,-0.013953488372093,0.00833333333333333,-0.244186046511628,-0.0420168067226891
"232",1982,-0.00856364344102764,-0.0225165562913907,-0.0406290956749672,0.0356394129979036,0,-0.0153846153846154,-0.026315789473684
"233",1983,-0.00372987828818218,0.0013550135501355,-0.00910746812386157,0.000506072874493927,0.0330578512396694,-0.09375,-0.027027027027027
"234",1984,0.0360591133004926,0.0920162381596752,0.0105698529411765,0.0490642387455741,0.024,-0.120689655172414,0.0185185185185185
"235",1985,0.0302396348421453,0.0346964064436183,-0.00591177808094588,0.068466730954677,0.0234375,-0.0392156862745098,0.0181818181818182
"236",1986,0.0306442680450434,-0.00598802395209581,0.0489478499542543,0.0275270758122744,0.0458015267175573,-0.0612244897959184,0.00892857142857124
"237",1987,0.0254343542898083,0.0746987951807229,0.0056694286960314,0.0272288098375055,0.0437956204379562,-0.0434782608695652,0.0088495575221239
"238",1988,0.0368558951965065,0.0482062780269058,0.0459670424978317,0.0205215904232578,0.0629370629370629,0.136363636363636,0.0175438596491228
"239",1989,0.021900269541779,0.0502673796791444,0.019485903814262,0.0171763720150817,0.0263157894736842,-0.18,0
"240",1990,0.00494559841740851,0.0427698574338086,0.0126067507116714,-0.0181219110378913,0.00641025641025641,-0.024390243902439,-0.00862068965517242
